ID,WeekDay,Breakfast_Start,Breakfast_End,Lunch_Start,Lunch_End,Dinner_Start,Dinner_End,Breakfast,Lunch,Dinner
33,Wednesday,,,08:00:00,14:00:00,14:00:00,22:00:00,0,1,1
33,Sunday,,,08:00:00,14:00:00,14:00:00,22:00:00,0,1,1
33,Friday,,,,,,,0,1,1
33,Thursday,,,08:00:00,14:00:00,14:00:00,22:00:00,0,1,1
33,Tuesday,,,08:00:00,14:00:00,14:00:00,22:00:00,0,1,1
34,Sunday,,,11:30:00,18:00:00,18:00:00,23:59:00,0,1,1
34,Monday,,,11:30:00,18:00:00,18:00:00,23:59:00,0,1,1
34,Thursday,,,11:30:00,18:00:00,18:00:00,23:59:00,0,1,1
34,Tuesday,,,11:30:00,18:00:00,18:00:00,23:59:00,0,1,1
34,Friday,,,14:00:00,18:00:00,18:00:00,23:59:00,0,1,1
34,Wednesday,,,11:30:00,18:00:00,18:00:00,23:59:00,0,1,1
34,Saturday,,,11:30:00,18:00:00,18:00:00,23:59:00,0,1,1
35,Friday,,,19:00:00,00:30:00,,,0,1,1
35,Sunday,,,19:00:00,00:30:00,,,0,1,1
35,Monday,,,19:00:00,00:30:00,,,0,1,1
35,Thursday,,,19:00:00,00:30:00,,,0,1,1
35,Tuesday,,,19:00:00,00:30:00,,,0,1,1
35,Wednesday,,,19:00:00,00:30:00,,,0,1,1
35,Saturday,,,19:00:00,00:30:00,,,0,1,1
36,Sunday,,,19:00:00,22:00:00,,,0,1,1
36,Saturday,,,19:00:00,22:00:00,,,0,1,1
36,Thursday,,,19:00:00,22:00:00,,,0,1,1
36,Tuesday,,,19:00:00,22:00:00,,,0,1,1
36,Monday,,,19:00:00,22:00:00,,,0,1,1
36,Wednesday,,,19:00:00,22:00:00,,,0,1,1
36,Friday,,,19:00:00,22:00:00,,,0,1,1
37,Friday,,,12:00:00,16:00:00,19:00:00,23:00:00,0,1,1
37,Sunday,,,12:00:00,16:00:00,19:00:00,23:00:00,0,1,1
37,Saturday,,,12:00:00,16:00:00,19:00:00,23:00:00,0,1,1
37,Thursday,,,12:00:00,16:00:00,19:00:00,23:00:00,0,1,1
37,Monday,,,12:00:00,16:00:00,19:00:00,23:00:00,0,1,1
37,Wednesday,,,12:00:00,16:00:00,19:00:00,23:00:00,0,1,1
37,Tuesday,,,12:00:00,16:00:00,19:00:00,23:00:00,0,1,1
38,Tuesday,,,12:00:00,15:00:00,19:30:00,23:00:00,0,1,1
38,Monday,,,12:00:00,15:00:00,19:30:00,23:00:00,0,1,1
38,Sunday,,,12:00:00,15:00:00,19:30:00,23:00:00,0,1,1
38,Thursday,,,12:00:00,15:30:00,19:30:00,23:00:00,0,1,1
38,Friday,,,12:00:00,15:30:00,19:30:00,23:00:00,0,1,1
38,Saturday,,,12:00:00,15:00:00,19:30:00,23:00:00,0,1,1
38,Wednesday,,,12:00:00,15:00:00,19:30:00,23:00:00,0,1,1
39,Friday,,,11:00:00,15:45:00,20:00:00,23:30:00,0,1,1
39,Sunday,,,11:00:00,15:45:00,20:00:00,23:30:00,0,1,1
39,Tuesday,,,11:00:00,15:45:00,20:00:00,23:30:00,0,1,1
39,Saturday,,,11:00:00,15:45:00,20:00:00,23:30:00,0,1,1
39,Thursday,,,11:00:00,15:45:00,20:00:00,23:30:00,0,1,1
39,Monday,,,11:00:00,15:45:00,20:00:00,23:30:00,0,1,1
39,Wednesday,,,11:00:00,15:45:00,20:00:00,23:30:00,0,1,1
40,Friday,,,12:15:00,15:00:00,19:30:00,23:00:00,0,1,1
40,Thursday,,,12:15:00,15:00:00,19:30:00,23:00:00,0,1,1
40,Tuesday,,,12:15:00,15:00:00,19:30:00,23:00:00,0,1,1
40,Wednesday,,,12:15:00,15:00:00,19:30:00,23:00:00,0,1,1
40,Sunday,,,12:15:00,15:00:00,19:30:00,23:00:00,0,1,1
40,Monday,,,12:15:00,15:00:00,19:30:00,23:00:00,0,1,1
40,Saturday,,,12:15:00,15:00:00,19:30:00,23:00:00,0,1,1
41,Saturday,,,12:30:00,16:00:00,18:00:00,22:30:00,0,1,1
41,Friday,,,12:30:00,16:00:00,18:00:00,22:30:00,0,1,1
41,Sunday,,,12:30:00,16:00:00,18:00:00,22:30:00,0,1,1
41,Tuesday,,,12:30:00,16:00:00,18:00:00,22:30:00,0,1,1
41,Monday,,,12:30:00,16:00:00,18:00:00,22:30:00,0,1,1
41,Thursday,,,12:30:00,16:00:00,18:00:00,22:30:00,0,1,1
41,Wednesday,,,12:30:00,16:00:00,18:00:00,22:30:00,0,1,1
42,Sunday,,,11:00:00,15:00:00,18:00:00,22:30:00,0,1,1
42,Saturday,,,11:00:00,15:00:00,18:00:00,22:30:00,0,1,1
42,Wednesday,,,11:00:00,15:00:00,18:00:00,22:30:00,0,1,1
42,Friday,,,11:00:00,15:00:00,18:00:00,22:30:00,0,1,1
42,Thursday,,,11:00:00,15:00:00,18:00:00,22:30:00,0,1,1
42,Monday,,,11:00:00,15:00:00,18:00:00,22:30:00,0,1,1
42,Tuesday,,,11:00:00,15:00:00,18:00:00,22:30:00,0,1,1
43,Wednesday,,,11:30:00,16:00:00,16:00:00,23:30:00,0,1,1
43,Thursday,,,11:30:00,16:00:00,16:00:00,23:30:00,0,1,1
43,Monday,,,11:30:00,16:00:00,16:00:00,23:30:00,0,1,1
43,Sunday,,,11:30:00,16:00:00,16:00:00,23:30:00,0,1,1
43,Saturday,,,11:30:00,16:00:00,16:00:00,23:30:00,0,1,1
43,Friday,,,11:30:00,16:00:00,16:00:00,23:30:00,0,1,1
43,Tuesday,,,11:30:00,16:00:00,16:00:00,23:30:00,0,1,1
44,Thursday,,,12:00:00,18:00:00,18:00:00,22:30:00,0,1,1
44,Wednesday,,,12:00:00,18:00:00,18:00:00,22:30:00,0,1,1
44,Saturday,,,12:00:00,18:00:00,18:00:00,22:30:00,0,1,1
44,Tuesday,,,12:00:00,18:00:00,18:00:00,22:30:00,0,1,1
44,Sunday,,,12:00:00,18:00:00,18:00:00,22:30:00,0,1,1
44,Friday,,,12:00:00,18:00:00,18:00:00,22:30:00,0,1,1
44,Monday,,,12:00:00,18:00:00,18:00:00,22:30:00,0,1,1
45,Tuesday,,,11:45:00,16:00:00,16:00:00,23:00:00,0,1,1
